trace_id,created_tw,total_ms,llm_model,worker,pre_agent_ms,llm_total_ms,llm_calls,tool_ms,tail_ms,input_tokens,output_tokens,fast_path,escalated
b0f48bb0-712f-4906-a874-eb3558ab207a,2026-07-21 11:37:28,9494,gpt-5.4,✓ 分流結果：高階客服,58,7355,2,613,1463,3774,228,f,f
18775807-4bb0-4387-af48-fa54fc71506d,2026-07-21 11:44:54,8028,gpt-5.4,✓ 分流結果：商品查詢,60,4874,2,1617,1473,4811,152,f,f
37a625bf-f576-4a97-8e06-74692d68c47b,2026-07-21 11:45:47,5652,gpt-5.4,✓ 分流結果：商品查詢,55,3496,2,601,1496,4387,146,f,f
45bda1bb-476e-4ab9-8ec6-7156d33f98ec,2026-07-21 11:47:39,9833,gpt-5.4,✓ 分流結果：商品查詢,56,7338,2,1073,1359,3741,143,f,f
7944713f-b43e-4511-8c5f-9c5a53b7d042,2026-07-21 13:32:04,7079,claude-haiku-4-5,✓ 分流結果：門市服務查詢,218,2804,2,2379,1674,6782,168,f,f
faea0ff0-d510-4024-b0db-68c3ad8b8af4,2026-07-22 18:07:30,9120,gpt-5.4,✓ 分流結果：閒聊,4205,2864,1,,2050,514,48,f,f
7f189fe5-83d4-4e49-a563-c847d36444c3,2026-07-22 18:08:01,11500,gpt-5.4,✓ 分流結果：商品查詢,64,5088,2,4898,1444,3642,163,f,f
c3b1cc5c-09de-44be-92f4-1d60a1054d9a,2026-07-22 18:08:18,4641,gpt-5.4,,68,2913,1,,1658,2149,85,f,f
e82c3395-96c3-4e30-8c2d-97745af7523b,2026-07-22 18:08:46,8575,gpt-5.4,✓ 分流結果：門市服務查詢,58,5775,2,1220,1518,4021,406,f,f
b7862f8d-d475-455c-9235-134fcde11ff3,2026-07-23 09:33:41,3885,gpt-5.4,✓ 分流結果：閒聊,62,2493,1,,1328,515,45,f,f
c27f5cf0-dee2-4a04-8d6e-7e852c0c1e64,2026-07-23 14:20:00,14419,gpt-5.4,✓ 分流結果：商品查詢,9623,4788,1,,6,789,246,t,f
1d841a58-41b0-482f-8bf0-86dc6ab23d7b,2026-07-23 14:20:11,6850,gpt-5.4,✓ 分流結果：商品查詢,3430,3414,1,,4,1178,298,t,f
c972f106-7bb1-464e-ab9d-2ed995b1f149,2026-07-23 14:20:19,6088,gpt-5.4,✓ 分流結果：門市服務查詢,2293,3789,1,,4,1846,382,t,f
3e45603c-8dbc-49ed-be0b-c6b6c9cc617a,2026-07-23 14:20:26,5012,gpt-5.4,✓ 分流結果：商品查詢,2849,2157,1,,4,1574,112,t,f
b619de4d-db79-4e37-b4a0-099cb744c431,2026-07-23 14:20:32,4467,gpt-5.4,✓ 分流結果：商品查詢,2156,2306,1,,4,1489,176,t,f
e273a6f8-d3b9-4ddf-b258-52234cce12cd,2026-07-23 14:29:44,9396,gpt-5.4,✓ 分流結果：商品查詢,7315,2073,1,,6,1514,107,t,f
d0dc9c70-7277-460b-990c-8d1bc6d6a637,2026-07-23 14:29:53,4078,gpt-5.4,✓ 分流結果：商品查詢,2226,1845,1,,5,1344,152,t,f
9d261466-7799-4057-a35b-4c70648d9784,2026-07-23 14:30:03,5717,gpt-5.4,✓ 分流結果：商品查詢,3052,2659,1,,5,1671,253,t,f
001d5f0d-2985-46b8-861a-86ce2cccf003,2026-07-23 14:30:15,5222,gpt-5.4,✓ 分流結果：門市服務查詢,2110,3107,1,,3,1860,356,t,f
7bc6f2d1-4981-45b1-bab9-8e07459867db,2026-07-23 14:30:22,4960,gpt-5.4,✓ 分流結果：商品查詢,3307,1648,1,,4,1718,70,t,f
aad3032c-347b-448a-8d5b-2fbd730eee25,2026-07-23 14:30:35,5280,gpt-5.4,✓ 分流結果：商品查詢,2781,2493,1,,5,1708,167,t,f
0cdf46d0-493e-47eb-8f96-0db6c88b55e5,2026-07-23 14:30:49,8192,gpt-5.4,,1414,6250,2,520,4,6496,241,f,f
fe365eb2-cd85-4d45-b4f2-e615d6abbcce,2026-07-23 14:31:08,5919,gpt-5.4,✓ 分流結果：高階客服,1482,4013,2,415,4,4267,206,f,f
27978f52-6f4a-438b-b5f7-b019949dab4e,2026-07-23 14:31:19,5777,gpt-5.4,✓ 分流結果：高階客服,1448,3870,2,451,3,4567,168,f,f
8699dafa-2ee6-408d-a508-bb5a9d8041cb,2026-07-23 14:31:48,7406,gpt-5.4,✓ 分流結果：高階客服,1771,4983,2,644,4,4637,256,f,f
e291a64d-8a18-496d-ab01-80ecbb303105,2026-07-23 14:34:33,9907,gpt-5.4,✓ 分流結果：高階客服,3186,5645,2,1068,4,5169,207,f,f
82c44b01-5abc-4f41-8068-85736da92be0,2026-07-23 14:34:45,5514,gpt-5.4,✓ 分流結果：門市服務查詢,2525,2984,1,,4,1434,26,t,f
33db645c-0c2d-49ed-8f48-f6c8fa09dc46,2026-07-23 14:35:06,4421,gpt-5.4,✓ 分流結果：商品查詢,2587,1828,1,,4,1329,108,t,f
b8a349b6-4604-417c-a7fc-93f54d18b0d7,2026-07-23 14:35:13,5275,gpt-5.4,✓ 分流結果：門市服務查詢,2229,3041,1,,4,1616,369,t,f
88ffec08-1dea-4759-8698-e87fb1b71d7b,2026-07-23 14:35:19,3884,gpt-5.4,✓ 分流結果：門市服務查詢,1949,1930,1,,4,1565,64,t,f
5ad213dc-adb7-429e-a0a8-537d0573779c,2026-07-23 14:36:00,5601,gpt-5.4,✓ 分流結果：商品查詢,3718,1878,1,,4,1487,70,t,f
182bd60d-dd36-4f71-b8b1-f039c8bc20b6,2026-07-23 14:42:36,8911,gpt-5.4,,5317,3198,2,388,4,5981,91,f,f
